order_id,order_date,supplier,product,category,quantity,unit_price,total_cost,delivery_days,complaint
PO-021470,2024-01-01,GreenFields GmbH,Bananen,Obst & Gemüse,778,1.13,879.14,7,Nein
PO-006736,2024-01-01,FreshTrade GmbH,Milch,Milchprodukte,116,0.91,105.56,5,Nein
PO-002654,2024-01-01,AgroFresh GmbH,TK-Gemüse,Tiefkühlprodukte,680,2.74,1863.2,4,Nein
PO-047649,2024-01-01,BioHarvest GmbH,TK-Gemüse,Tiefkühlprodukte,766,2.78,2129.48,4,Nein
PO-022752,2024-01-01,EuroFoods GmbH,Reis,Getreide,551,1.84,1013.84,5,Nein
PO-027763,2024-01-01,NordFood GmbH,Butter,Milchprodukte,997,2.12,2113.64,5,Nein
PO-027637,2024-01-01,FreshTrade GmbH,Mehl,Getreide,391,0.82,320.62,3,Nein
PO-020762,2024-01-01,AgroFresh GmbH,Reis,Getreide,957,1.84,1760.88,3,Nein
PO-002581,2024-01-01,GreenFields GmbH,Reis,Getreide,796,1.79,1424.84,6,Nein
PO-030274,2024-01-01,AgroFresh GmbH,Karotten,Obst & Gemüse,795,1.09,866.55,4,Nein
PO-027469,2024-01-01,BioHarvest GmbH,TK-Pommes,Tiefkühlprodukte,595,2.1,1249.5,4,Nein
PO-039480,2024-01-01,NordFood GmbH,Milch,Milchprodukte,156,0.95,148.2,1,Nein
PO-044694,2024-01-01,FreshTrade GmbH,Putenfleisch,Fleisch,872,6.96,6069.12,5,Nein
PO-008070,2024-01-01,AgroFresh GmbH,Butter,Milchprodukte,780,2.32,1809.6,1,Nein
PO-009975,2024-01-01,FoodSupply GmbH,TK-Gemüse,Tiefkühlprodukte,190,2.56,486.4,3,Nein
PO-026827,2024-01-01,LandGut GmbH,Haferflocken,Getreide,533,1.41,751.53,9,Nein
PO-018310,2024-01-01,GreenFields GmbH,Milch,Milchprodukte,912,0.89,811.68,6,Nein
PO-037425,2024-01-01,FoodSupply GmbH,Rindfleisch,Fleisch,77,11.49,884.73,2,Nein
PO-008949,2024-01-01,EuroFoods GmbH,Nudeln,Getreide,57,1.21,68.97,4,Nein
PO-000847,2024-01-01,BioHarvest GmbH,Reis,Getreide,89,2.18,194.02,1,Nein
PO-047719,2024-01-01,NordFood GmbH,TK-Gemüse,Tiefkühlprodukte,152,2.43,369.36,6,Nein
PO-034660,2024-01-01,FreshTrade GmbH,Nudeln,Getreide,547,1.1,601.7,5,Ja
PO-036217,2024-01-01,FoodSupply GmbH,Rindfleisch,Fleisch,705,11.35,8001.75,4,Nein
PO-049522,2024-01-01,FoodSupply GmbH,Käse,Milchprodukte,586,6.18,3621.48,2,Nein
PO-021003,2024-01-01,LandGut GmbH,Kartoffeln,Obst & Gemüse,194,0.89,172.66,8,Nein
PO-028825,2024-01-01,BioHarvest GmbH,Reis,Getreide,93,2.07,192.51,1,Nein
PO-036652,2024-01-01,FoodSupply GmbH,Kartoffeln,Obst & Gemüse,799,0.92,735.08,3,Nein
PO-004231,2024-01-01,NordFood GmbH,Hähnchen,Fleisch,86,6.37,547.82,5,Nein
PO-040048,2024-01-01,FreshTrade GmbH,TK-Beeren,Tiefkühlprodukte,481,4.47,2150.07,5,Nein
